medium	1710
heavy	1497
light	1142
light	1568
medium	1710
medium	1142
medium	1923
medium	1639
medium	1710
medium	1213
heavy	1994
medium	1284
light	1071
medium	1497
heavy	1213
medium	1568
heavy	1000
medium	1852
heavy	1355
medium	1639
light	1213
light	1213
heavy	1710
light	1781
heavy	1426
heavy	1639
light	1071
heavy	1639
heavy	1284
heavy	1426
medium	1497
medium	1639
heavy	1284
medium	1284
heavy	1923
heavy	1213
medium	1071
heavy	1923
light	1994
medium	1284
light	1710
light	1355
medium	1284
light	1000
medium	1639
heavy	1710
medium	1355
light	1213
light	1639
medium	1994
heavy	1710
heavy	1568
light	1852
heavy	1213
medium	1994
light	1000
heavy	1497
medium	1426
light	1710
medium	1852
light	1426
medium	1497
light	1355
medium	1284
light	1000
heavy	1071
medium	1781
heavy	1355
medium	1781
heavy	1781
heavy	1710
medium	1781
heavy	1355
medium	1781
medium	1284
light	1639
heavy	1639
medium	1000
medium	1213
light	1852
light	1284
light	1071
light	1000
light	1781
light	1426
medium	1426
heavy	1923
light	1639
heavy	1213
medium	1355
light	1710
medium	1284
heavy	1426
medium	1497
medium	1071
heavy	1710
heavy	1000
heavy	1781
heavy	1994
medium	1852
heavy	1213
heavy	1852
medium	1355
medium	1497
heavy	1213
medium	1071
light	1568
light	1426
light	1213
medium	1497
heavy	1497
heavy	1497
heavy	1781
light	1923
light	1071
medium	1497
medium	1710
medium	1994
light	1142
light	1923
light	1710
medium	1142
medium	1639
light	1142
medium	1497
medium	1071
heavy	1355
medium	1497
medium	1781
light	1142
light	1497
heavy	1710
light	1213
heavy	1142
heavy	1142
medium	1568
light	1213
heavy	1781
heavy	1781
heavy	1426
light	1639
heavy	1994
light	1284
heavy	1923
light	1355
light	1852
medium	1852
light	1568
light	1994
medium	1497
light	1710
light	1568
light	1284
medium	1994
light	1568
medium	1852
light	1284
light	1781
medium	1284
heavy	1497
light	1923
heavy	1426
light	1923
heavy	1213
light	1142
heavy	1994
light	1639
light	1994
medium	1142
light	1568
